timestamp,latency,tx_bitrate_mbps,latitude,longitude
1754911026,51.4,0.306,48.287969,11.678556
1754911027,43.0,0.264,48.288071,11.678604
1754911028,47.1,0.354,48.288173,11.678652
1754911029,50.7,0.37,48.288275,11.678701
1754911030,43.8,0.319,48.288378,11.67875
1754911031,49.7,0.296,48.288483,11.678799
1754911032,45.0,0.48,48.288588,11.678848
1754911033,45.4,0.268,48.288693,11.678898
1754911034,48.1,0.34,48.288797,11.678946
1754911035,40.1,0.412,48.2889,11.678994
1754911036,50.8,0.325,48.289003,11.679042
1754911037,52.0,0.262,48.289106,11.679091
1754911038,43.5,0.28,48.289208,11.679138
1754911039,43.0,0.279,48.28931,11.679186
1754911040,44.9,0.274,48.289414,11.679234
1754911041,52.9,0.444,48.289517,11.679282
1754911042,65.0,0.275,48.289618,11.67933
1754911043,67.1,0.436,48.289719,11.679377
1754911044,49.8,0.423,48.28982,11.679424
1754911045,41.7,0.364,48.289921,11.679471
1754911046,43.8,0.294,48.290024,11.679519
1754911047,50.4,0.312,48.290126,11.679567
1754911048,53.6,0.374,48.290228,11.679615
1754911049,49.1,0.227,48.290331,11.679663
1754911050,51.4,0.275,48.290433,11.67971
1754911051,49.9,0.256,48.290535,11.679758
1754911052,45.9,0.301,48.290637,11.679805
1754911053,50.0,0.321,48.290738,11.679853
1754911054,61.1,0.314,48.290838,11.679901
1754911055,57.1,0.347,48.290937,11.679949
1754911056,53.9,0.376,48.291037,11.679996
1754911057,46.7,0.345,48.291137,11.680044
1754911058,46.4,0.236,48.291238,11.680093
1754911059,55.4,0.247,48.29134,11.680142
1754911060,53.7,0.313,48.291443,11.680191
1754911061,42.0,0.317,48.291548,11.68024
1754911062,48.4,0.324,48.291654,11.68029
1754911063,45.3,0.368,48.29176,11.680338
1754911064,52.0,0.337,48.291865,11.680388
1754911065,43.8,0.3,48.29197,11.680438
1754911066,54.6,0.272,48.292074,11.680487
1754911067,41.8,0.255,48.292177,11.680536
1754911068,55.9,0.33,48.29228,11.680585
1754911069,42.9,0.296,48.292385,11.680634
1754911070,47.4,0.281,48.29249,11.680684
1754911071,56.1,0.452,48.292597,11.680734
1754911072,48.7,0.296,48.292701,11.680783
1754911073,50.9,0.291,48.292806,11.680833
1754911074,47.2,0.341,48.29291,11.680883
1754911075,37.7,0.294,48.293014,11.680934
1754911076,48.9,0.292,48.293119,11.680983
1754911077,55.9,0.427,48.293224,11.68103
1754911078,46.7,0.35,48.29333,11.681076
1754911079,57.3,0.291,48.293435,11.681124
1754911080,57.6,0.341,48.293538,11.681171
1754911081,48.8,0.372,48.293638,11.681217
1754911082,43.8,0.441,48.293738,11.681264
1754911083,50.1,0.309,48.29384,11.681311
1754911084,48.9,0.331,48.293941,11.681357
1754911085,48.3,0.23,48.294042,11.681404
1754911086,46.9,0.239,48.294144,11.681451
1754911087,40.8,0.254,48.294246,11.681497
1754911088,51.8,0.354,48.294349,11.681543
1754911089,61.3,0.343,48.294452,11.681589
1754911090,41.2,0.45,48.294553,11.681635
1754911091,40.1,0.313,48.294653,11.68168
1754911092,48.7,0.39,48.294754,11.681724
1754911093,50.9,0.319,48.294858,11.681768
1754911094,42.7,0.295,48.294962,11.681811
1754911095,40.7,0.364,48.295067,11.681854
1754911096,49.2,0.322,48.295169,11.681897
1754911097,51.9,0.452,48.295273,11.681939
1754911098,46.5,0.346,48.295377,11.681982
1754911099,37.8,0.266,48.295482,11.682024
1754911100,61.9,0.214,48.295587,11.682066
1754911101,60.0,0.372,48.295693,11.682108
1754911102,39.8,0.391,48.295798,11.682149
1754911103,37.8,0.32,48.295903,11.68219
1754911104,46.0,0.382,48.296008,11.68223
1754911105,48.1,0.244,48.296112,11.682269
1754911106,40.8,0.243,48.296216,11.682305
1754911107,52.9,0.304,48.296322,11.682342
1754911108,48.7,0.24,48.29643,11.682379
1754911109,46.2,0.352,48.296538,11.682415
1754911110,45.4,0.332,48.296645,11.68245
1754911111,45.8,0.365,48.296751,11.682484
1754911112,40.8,0.288,48.296857,11.682515
1754911113,50.8,0.336,48.296962,11.682546
1754911114,45.0,0.347,48.297068,11.682577
1754911115,39.1,0.237,48.297174,11.682608
1754911116,51.8,0.322,48.297279,11.682639
1754911117,45.7,0.375,48.297385,11.68267
1754911118,50.3,0.398,48.297492,11.6827
1754911119,54.1,0.366,48.2976,11.682731
1754911120,87.9,0.374,48.297708,11.682761
1754911121,45.5,0.274,48.297817,11.682791
1754911122,51.7,0.24,48.297924,11.682821
1754911123,46.8,0.302,48.29803,11.682849
1754911124,52.8,0.279,48.298135,11.682876
1754911125,39.0,0.388,48.298239,11.682902
1754911126,52.0,0.3,48.298345,11.682928
1754911127,49.4,0.244,48.298452,11.682954
1754911128,41.8,0.264,48.298559,11.68298
1754911129,44.2,0.39,48.298667,11.683005
1754911130,50.0,0.28,48.298774,11.683031
1754911131,45.9,0.281,48.29888,11.683055
1754911132,48.9,0.248,48.298985,11.68308
1754911133,44.2,0.274,48.299092,11.683105
1754911134,48.0,0.286,48.2992,11.68313
1754911135,44.8,0.317,48.29931,11.683154
1754911136,42.6,0.298,48.299419,11.683179
1754911137,48.9,0.339,48.299527,11.683204
1754911138,37.9,0.236,48.299634,11.683229
1754911139,57.6,0.265,48.299739,11.683255
1754911140,42.8,0.427,48.299842,11.68328
1754911141,40.9,0.344,48.299947,11.683304
1754911142,44.7,0.234,48.300053,11.683329
1754911143,38.9,0.421,48.300158,11.683353
1754911144,49.8,0.372,48.300264,11.683376
1754911145,44.7,0.25,48.300371,11.6834
1754911146,38.8,0.396,48.300479,11.683424
1754911147,45.2,0.321,48.300587,11.683448
1754911148,49.6,0.341,48.300693,11.683472
1754911149,48.4,0.283,48.300799,11.683497
1754911150,42.7,0.353,48.300907,11.683522
1754911151,50.8,0.322,48.301014,11.683547
1754911152,44.8,0.434,48.301121,11.68357
1754911153,44.2,0.264,48.301226,11.683592
1754911154,40.9,0.221,48.30133,11.683615
1754911155,45.2,0.24,48.301433,11.683638
1754911156,57.1,0.323,48.301535,11.683662
1754911157,45.5,0.347,48.301636,11.683685
1754911158,47.3,0.402,48.301738,11.683709
1754911159,43.7,0.323,48.301843,11.683733
1754911160,41.2,0.316,48.301948,11.683757
1754911161,50.9,0.241,48.302053,11.68378
1754911162,54.3,0.3,48.302159,11.683803
1754911163,41.6,0.203,48.302264,11.683827
1754911164,46.3,0.318,48.302367,11.68385
1754911165,59.6,0.235,48.302472,11.683874
1754911166,44.6,0.327,48.302578,11.683898
1754911167,42.5,0.27,48.302684,11.683921
1754911168,52.7,0.378,48.302789,11.683945
1754911169,46.8,0.333,48.302892,11.68397
1754911170,47.4,0.285,48.302995,11.683995
1754911171,41.8,0.262,48.3031,11.684021
1754911172,40.4,0.25,48.303206,11.684048
1754911173,37.9,0.321,48.303312,11.684076
1754911174,59.3,0.368,48.303419,11.684103
1754911175,44.7,0.303,48.303527,11.684132
1754911176,55.6,0.356,48.303635,11.684162
1754911177,40.1,0.431,48.303742,11.684194
