timestamp,latency,tx_bitrate_mbps,latitude,longitude,bw_timestamp,total,lost,time_interval
1754910693,52.6,0.349,48.261587,11.665535,1754915091,4717,8,2.969552
1754910694,54.3,0.305,48.261606,11.665381,1754915091,4717,8,2.969552
1754910696,40.0,0.341,48.261644,11.665071,1754913478,4717,0,3.661594
1754910696,40.0,0.341,48.261644,11.665071,1754915088,4717,0,3.220574
1754910697,61.4,0.25,48.261662,11.664916,1754913478,4717,0,3.661594
1754910697,61.4,0.25,48.261662,11.664916,1754915088,4717,0,3.220574
1754910700,69.7,0.384,48.261717,11.664452,1754913482,4717,2,2.484442
1754910701,42.4,0.241,48.261736,11.664295,1754913482,4717,2,2.484442
1754910701,42.4,0.241,48.261736,11.664295,1754915084,4717,1,2.523811
1754910702,47.9,0.276,48.261755,11.664138,1754915084,4717,1,2.523811
1754910703,47.3,0.284,48.261774,11.66398,1754913485,4717,0,2.583639
1754910704,49.8,0.418,48.261793,11.663821,1754913485,4717,0,2.583639
1754910704,49.8,0.418,48.261793,11.663821,1754915081,4717,0,2.50567
1754910705,57.1,0.377,48.261812,11.663662,1754915081,4717,0,2.50567
1754910708,51.8,0.288,48.26187,11.663172,1754915078,4717,6,2.484799
1754910709,49.8,0.358,48.26189,11.663004,1754915078,4717,6,2.484799
1754910711,50.7,0.328,48.26193,11.662667,1754915075,4717,0,2.044747
1754910712,52.7,0.342,48.261949,11.662503,1754915075,4717,0,2.044747
1754910713,48.1,0.391,48.261968,11.662339,1754915073,4717,0,2.440063
1754910714,41.9,0.309,48.261987,11.662174,1754915073,4717,0,2.440063
1754910717,50.6,0.293,48.262046,11.661674,1754915070,4717,0,1.994155
1754910719,48.9,0.316,48.262083,11.661345,1754915068,4717,1,2.03798
1754910720,47.9,0.319,48.262103,11.661183,1754915068,4717,1,2.03798
1754910723,46.1,0.303,48.262159,11.660706,1754915064,4717,0,2.377488
1754910724,52.4,0.246,48.262177,11.660548,1754915064,4717,0,2.377488
1754910726,56.1,0.333,48.262216,11.660236,1754915062,4717,0,2.180901
1754910727,66.1,0.463,48.262237,11.660083,1754915062,4717,0,2.180901
1754910730,53.8,0.347,48.262289,11.659636,1754915058,4717,0,2.911103
1754910731,49.3,0.239,48.262305,11.659493,1754915058,4717,0,2.911103
1754910735,55.6,0.347,48.26243,11.658965,1754915054,4717,0,1.839058
1754910736,42.7,0.308,48.262462,11.65884,1754915054,4717,0,1.839058
1754910737,41.8,0.343,48.262488,11.65872,1754913518,4717,0,1.425947
1754910737,41.8,0.343,48.262488,11.65872,1754915054,4717,0,1.839058
1754910738,50.3,0.392,48.262511,11.658614,1754913518,4717,0,1.425947
1754910738,50.3,0.392,48.262511,11.658614,1754915052,4717,0,1.16037
1754910739,59.1,0.341,48.262534,11.658527,1754913518,4717,0,1.425947
1754910739,59.1,0.341,48.262534,11.658527,1754915052,4717,0,1.16037
1754910740,41.9,0.354,48.26256,11.65846,1754913518,4717,0,1.425947
1754910740,41.9,0.354,48.26256,11.65846,1754913522,4717,0,1.121558
1754910740,41.9,0.354,48.26256,11.65846,1754915052,4717,0,1.16037
1754910741,48.1,0.323,48.262587,11.658415,1754913522,4717,0,1.121558
1754910742,37.7,0.304,48.262611,11.658392,1754913522,4717,0,1.121558
1754910743,44.9,0.404,48.262626,11.65838,1754913522,4717,0,1.121558
1754910744,38.1,0.296,48.262636,11.658374,1754913522,4717,0,1.121558
1754910745,54.1,0.349,48.262638,11.658373,1754913522,4717,0,1.121558
1754910746,59.7,0.287,48.262638,11.658373,1754913522,4717,0,1.121558
1754910747,56.8,0.401,48.262638,11.658373,1754913522,4717,0,1.121558
1754910748,60.8,0.301,48.262638,11.658373,1754913522,4717,0,1.121558
1754910749,50.1,0.321,48.262638,11.658373,1754913522,4717,0,1.121558
1754910750,43.9,0.238,48.262638,11.658373,1754913522,4717,0,1.121558
1754910751,42.0,0.392,48.262638,11.658373,1754913522,4717,0,1.121558
1754910752,45.9,0.295,48.262638,11.658373,1754913522,4717,0,1.121558
1754910753,47.8,0.388,48.262638,11.658373,1754913522,4717,0,1.121558
1754910754,44.9,0.311,48.262638,11.658373,1754913522,4717,0,1.121558
1754910755,47.5,0.302,48.262638,11.658373,1754913522,4717,0,1.121558
1754910756,45.8,0.332,48.262638,11.658373,1754913522,4717,0,1.121558
1754910757,52.2,0.3,48.262638,11.658373,1754913522,4717,0,1.121558
1754910758,40.9,0.342,48.262638,11.658373,1754913522,4717,0,1.121558
1754910759,48.9,0.323,48.262638,11.658373,1754913522,4717,0,1.121558
1754910760,42.7,0.317,48.262638,11.658373,1754913522,4717,0,1.121558
1754910761,55.1,0.29,48.262639,11.658373,1754913522,4717,0,1.121558
1754910762,35.8,0.341,48.262651,11.658366,1754913522,4717,0,1.121558
1754910763,44.7,0.242,48.262682,11.658356,1754913522,4717,0,1.121558
1754910763,44.7,0.242,48.262682,11.658356,1754913525,4717,109,1.296171
1754910764,46.7,0.333,48.262728,11.658359,1754913522,4717,0,1.121558
1754910764,46.7,0.333,48.262728,11.658359,1754913525,4717,109,1.296171
1754910765,50.7,0.422,48.262783,11.658387,1754913522,4717,0,1.121558
1754910765,50.7,0.422,48.262783,11.658387,1754913525,4717,109,1.296171
1754910766,43.6,0.403,48.262846,11.65843,1754913525,4717,109,1.296171
1754910767,46.1,0.257,48.262918,11.658481,1754913525,4717,109,1.296171
1754910768,51.4,0.349,48.262999,11.65854,1754913528,4717,15,1.115822
1754910769,48.1,0.239,48.263087,11.658605,1754913528,4717,15,1.115822
1754910770,44.0,0.323,48.263179,11.658674,1754913528,4717,15,1.115822
1754910770,44.0,0.323,48.263179,11.658674,1754913530,4717,0,1.156136
1754910771,44.8,0.293,48.263275,11.658746,1754913530,4717,0,1.156136
1754910772,48.5,0.262,48.263375,11.65882,1754913530,4717,0,1.156136
1754910772,48.5,0.262,48.263375,11.65882,1754913532,4717,0,1.091035
